Название;Норма посадки;Почва;Свет
Кошачья лапка двудомная (антеннария) (Antennaria dioica);;каменистые, нетребователен, сухая, хорошо дренированная;солнце
Кошачья лапка двудомная (антеннария) Rubra (Antennaria dioica);;каменистые, нетребователен, сухая, хорошо дренированная;солнце
Кровохлебка лекарственная (Sanguisorba officinalis);;нетребователен, плодородная, влажная,сырая, дренированная;полутень, солнце
Кровохлебка лекарственная Танна (Sanguisorba officinalis);;нетребователен, плодородная, влажная,сырая, дренированная;полутень, солнце
Купальница европейская (Trollius europaeus);;;
Купальница китайская Golden Queen (Trollius chinensis);;нетребователен, плодородная, влажная,сырая, дренированная;полутень, солнце
Купальница культурная New Hybrids (Trollius x cultorum);;нетребователен, плодородная, влажная,сырая, дренированная;полутень, солнце
Лаванда узколистная Blue Scent Early (Lavandula angustifolia);;легкие, умеренно плодородные, сухая, полусухая;солнце
Лаванда узколистная Munstead Variety (Lavandula angustifolia);;легкие, умеренно плодородные, сухая, полусухая;солнце
Лаванда узколистная Rosea (Lavandula angustifolia);;легкие, умеренно плодородные, сухая, полусухая;солнце
Лаванда узколистная Scent White Compact (Lavandula angustifolia);;легкие, умеренно плодородные, сухая, полусухая;солнце
Лаванда узколистная Scent Mini Blue (Lavandula angustifolia);;;
Лаванда узколистная HIdcote Blue Strain (Lavandula angustifolia);;легкие, умеренно плодородные, сухая, полусухая;солнце
Лапчатка непальская Miss Willmont (Potentilla nepalensis);;;
Лиатрис колосковый Alba (Liatris spicata);;;
Лиатрис колосковый Floristan Violet (Liatris spicata);;;
Лимониум широколистный;;;
Лихнис альпийский (Lychnis alpina);;;
Лихнис корончатый Atrosanguinea (Lychnis coronaria);;нетребователен, сухая, хорошо дренированная;солнце
Лук склоненный Pink Giant (Allium cernuum);;умеренно плодородные, сухая, хорошо дренированная;солнце
Лук-скорода (шнитт) (Allium schoenoprasum);;;
Манжетка мягкая Thriller (Alchemilla mollis);;нетребователен, сухая, полусухая, влажная;полутень, солнце
Маргаритка многолетняя Robella (Bellis perennis);;умеренно плодородные, слегка влажная, хорошо дренированная;солнце
Маргаритка многолетняя Tasso Red (Bellis perennis);;умеренно плодородные, слегка влажная, хорошо дренированная;солнце
Мелисса лекарственная Lemona (Melissa officinalis);;легкие, нетребователен, влажная, хорошо дренированная;солнце
Молочай многоцветковый (полихрома) Полихрома (Euphorbia polychroma);;легкие, умеренно плодородные, сухая, хорошо дренированная;полутень, солнце
Монарда гибридная Gardenview Scarlet (Monarda hybrida);;;
Монарда двойчатая Panorama Mix (Monarda didyma);;легкие, нетребователен, влажная, хорошо дренированная;полутень, солнце
Монарда двойчатая Panorama Red (Monarda didyma);;легкие, нетребователен, влажная, хорошо дренированная;полутень, солнце
Мордовник баннатский Star Frost (Echinops bannaticus);;умеренно плодородные, сухая, хорошо дренированная;солнце
Мордовник обыкновенный (Echinops ritro);;умеренно плодородные, сухая, хорошо дренированная;солнце
Морковь дикая Dara (Daucus carota);;умеренно плодородные, слегка влажная, хорошо дренированная;солнце
Мшанка шиловидная Puzta (Sagina subulata);;умеренно плодородные, умеренно влажная, хорошо дренированная;полутень
Наперстянка пурпурная Apricot (Digitalis purpurea);;;
Наперстянка пурпурная Berggold (Digitalis purpurea);;;
Наперстянка пурпурная Monstrosa White (Digitalis purpurea);;;
Наперстянка пурпурная Monstrosa Purple (Digitalis purpurea);;;
Наперстянка пурпурная (Digitalis purpurea);;;
Нивяник наибольший Аляска (Leucanthemum maximum);;легкие, умеренно плодородные, влажная, хорошо дренированная;полутень, солнце
Нивяник наибольший Crazy Daisy (Leucanthemum maximum);;нетребователен, плодородные, влажная, хорошо дренированная;солнце
Нивяник наибольший Silver Princess (Leucanthemum maximum);;легкие, умеренно плодородные, влажная, хорошо дренированная;солнце
Обриета гибридная Audrey Red (Aubrieta hybrida);;умеренно плодородные, слегка влажная, хорошо дренированная;солнце
Обриета гибридная Audrey Sky Blue (Aubrieta hybrida);;умеренно плодородные, слегка влажная, хорошо дренированная;солнце
Обриета культурная Lilac (Aubrieta cultorum);;умеренно плодородные, слегка влажная, хорошо дренированная;солнце
Обриета культурная Royal Cascade Blue (Aubrieta cultorum);;умеренно плодородные, слегка влажная, хорошо дренированная;солнце
Обриета культурная Royal Cascade Purple-Violet (Aubrieta cultorum);;умеренно плодородные, слегка влажная, хорошо дренированная;солнце
Обриета культурная Royal Cascade Red (Aubrieta cultorum);;умеренно плодородные, слегка влажная, хорошо дренированная;солнце
Овсянница аметиста (Festuca amethistinа);;легкие, плодородные, сухая, хорошо дренированная;солнце
Осока беловатая Frosted Curls (Carex albula);;умеренно плодородные, слегка влажная, хорошо дренированная;полутень, солнце
Осока гладконосая (Carex leiorhyncha);;нетребователен, нетребователен;тень, полутень, солнце
Осока пальмолистная (Carex muskigumensis);;нетребователен, нетребователен;тень, полутень, солнце
Пенстемон бородатый нана Rondo (Penstemon barbatus);;;
Пенстемон наперстянковый Mystica (Penstemon digitalis);;;
Пенстемон наперстянковый Husker Red Superior Strain (Penstemon digitalis);;;
Пенстемон разнолистный Electric Blue (Penstemon heterophyllus);;;
Перовския лебедолистная Taiga (Perovskia atriplicifolia);;легкие, нетребователен, сухая, хорошо дренированная;солнце
Песчанка горная Avalnche (Arenaria montana);;нетребователен, сухая, хорошо дренированная;солнце
Песчанка горная Snowbank (Arenaria montana);;;
Пижма красная (пиретрум) Robinson Pink (Tanacetum coccineum);;нетребователен, сухая, хорошо дренированная;солнце
Пижма красная (пиретрум) Super Duplex (Tanacetum coccineum);;;
Платикодон крупноцветковый Fuji Blue (Platycodon grandiflorus);;умеренно плодородные, умеренно влажная, хорошо дренированная;полутень, солнце
Платикодон крупноцветковый Fuji White (Platycodon grandiflorus);;умеренно плодородные, умеренно влажная, хорошо дренированная;полутень, солнце
Платикодон крупноцветковый Fuji Pink (Platycodon grandiflorus);;умеренно плодородные, умеренно влажная, хорошо дренированная;полутень, солнце
Платикодон крупноцветковый Hakone White (Platycodon grandiflorus);;умеренно плодородные, умеренно влажная, хорошо дренированная;полутень, солнце
Полынь людовика (Artemisia ludoviciana);;нетребователен, сухая, хорошо дренированная;солнце
Полынь стеллера Mori's Strain (Artemisia stelleriana);;нетребователен, сухая, хорошо дренированная;солнце
Полынь эстрагонная (Artemisia dracunculus);;бедные, сухая, хорошо дренированная;солнце
Посконник пурпурный (Eupatorium);;;
Примула мелкозубчатая Corolla Mix (Primula denticulata);;рыхлые, плодородные, сырая, хорошо дренированная;тень, полутень
Прострел обыкновенный Pinwheel Dark Red (Pulsatilla vulgaris);;;
Прострел обыкновенный Pinwheel Blue Violt Shades (Pulsatilla vulgaris);;;
Прострел обыкновенный Pinwheel White (Pulsatilla vulgaris);;;
Прострел обыкновенный Prima Papagena (Pulsatilla vulgaris);;;
Прострел обыкновенный Rosen Glocke (Pulsatilla vulgaris);;;
Прострел обыкновенный Heiler Hybrids (Pulsatilla vulgaris);;;
Пупавка красильная Kelwayii (Anthemis tinctoria);;бедные, сухая, хорошо дренированная;солнце
Пупавка критская Karpatenschnee (Anthemis cretica);;;
Ревень компактный;;;
Рудбекия западная Green Wizard (Rudbeckia occidentalis);;нетребователен, умеренно влажная, хорошо дренированная;солнце
Седум белый (Sedum album);;нетребователен, плодородные, сухая, полусухая, влажная;полутень, солнце
Седум видный Карл (Sedum spectabile);;легкие, умеренно плодородные, умеренно влажная, хорошо дренированная;солнце
Седум гибридный Матрона (Sedum hybrida);;легкие, умеренно плодородные, умеренно влажная, хорошо дренированная;солнце
Седум гибридный Purple Emperor (Sedum hybrida);;;
Седум едкий Golden Yellow (Sedum acre);;нетребователен, сухая, хорошо дренированная;солнце
Седум едкий Octoberfest (Sedum acre);;нетребователен, сухая, хорошо дренированная;солнце
Седум камчатский Spirit (Sedum kamtschaticum);;рыхлые, плодородные, влажная, хорошо дренированная;полутень, солнце
Седум ложный Solarity (Sedum spurium);;рыхлые, нетребователен, умеренно влажная, хорошо дренированная;солнце
Седум ложный Tricolor (Sedum spurium);;;
Седум телефиум Herbstfreude (Sedum telephium);;легкие, нетребователен, умеренно влажная, хорошо дренированная;солнце
Синюха голубая Blue Pearl (Polemonium caeruleum);;нетребователен, влажная, хорошо дренированная;полутень, солнце
Синюха голубая White Pearl (Polemonium caeruleum);;нетребователен, влажная, хорошо дренированная;полутень, солнце
Синюха северная Bambino Blue (Polemonium boreale);;;
Скабиоза кавказская Perfecta Alba (Scabiosa caucasica);;;
Скабиоза кавказская Perfecta Blue (Scabiosa caucasica);;;
